Index,Direction,Datetime,Date
75557,Exit,2023-01-25 10:46:28,2023-01-25
66851,Exit,2023-01-25 10:46:28,2023-01-25
12225,Entry,2023-01-25 10:46:52,2023-01-25
56979,Exit,2023-01-25 10:47:00,2023-01-25
654,Entry,2023-01-25 10:47:22,2023-01-25
739,Entry,2023-01-25 10:47:26,2023-01-25
75427,Exit,2023-01-25 10:47:28,2023-01-25
22383,Entry,2023-01-25 10:48:16,2023-01-25
56985,Exit,2023-01-25 10:48:43,2023-01-25
81130,Exit,2023-01-25 10:48:45,2023-01-25
22377,Entry,2023-01-25 10:48:54,2023-01-25
56782,Exit,2023-01-25 10:49:29,2023-01-25
81135,Exit,2023-01-25 10:49:49,2023-01-25
31713,Entry,2023-01-25 10:49:57,2023-01-25
740,Entry,2023-01-25 10:49:57,2023-01-25
56996,Exit,2023-01-25 10:50:19,2023-01-25
30765,Entry,2023-01-25 10:50:37,2023-01-25
75560,Exit,2023-01-25 10:51:11,2023-01-25
45534,Exit,2023-01-25 10:51:14,2023-01-25
804,Entry,2023-01-25 10:51:34,2023-01-25
36380,Entry,2023-01-25 10:52:17,2023-01-25
21190,Entry,2023-01-25 10:52:22,2023-01-25
57007,Exit,2023-01-25 10:52:36,2023-01-25
22253,Entry,2023-01-25 10:52:52,2023-01-25
12250,Entry,2023-01-25 10:52:53,2023-01-25
45551,Exit,2023-01-25 10:52:55,2023-01-25
45586,Exit,2023-01-25 10:52:59,2023-01-25
74226,Exit,2023-01-25 10:53:11,2023-01-25
45639,Exit,2023-01-25 10:53:11,2023-01-25
40919,Entry,2023-01-25 10:55:02,2023-01-25
39342,Entry,2023-01-25 10:55:29,2023-01-25
45677,Exit,2023-01-25 10:56:02,2023-01-25
12268,Entry,2023-01-25 10:56:06,2023-01-25
75522,Exit,2023-01-25 10:56:10,2023-01-25
45686,Exit,2023-01-25 10:57:01,2023-01-25
36401,Entry,2023-01-25 10:57:17,2023-01-25
66788,Exit,2023-01-25 10:57:21,2023-01-25
75566,Exit,2023-01-25 10:57:25,2023-01-25
40935,Entry,2023-01-25 10:57:30,2023-01-25
66684,Exit,2023-01-25 10:57:31,2023-01-25
23201,Entry,2023-01-25 10:58:00,2023-01-25
45694,Exit,2023-01-25 10:58:22,2023-01-25
45401,Exit,2023-01-25 10:58:36,2023-01-25
18126,Entry,2023-01-25 10:58:44,2023-01-25
81145,Exit,2023-01-25 10:58:45,2023-01-25
85687,Exit,2023-01-25 10:59:02,2023-01-25
36419,Entry,2023-01-25 10:59:02,2023-01-25
12513,Entry,2023-01-25 10:59:21,2023-01-25
67131,Exit,2023-01-25 10:59:40,2023-01-25
56997,Exit,2023-01-25 10:59:43,2023-01-25
12280,Entry,2023-01-25 10:59:50,2023-01-25
953,Entry,2023-01-25 10:59:51,2023-01-25
22111,Entry,2023-01-25 10:59:54,2023-01-25
22396,Entry,2023-01-25 11:00:02,2023-01-25
67161,Exit,2023-01-25 11:00:08,2023-01-25
12284,Entry,2023-01-25 11:00:15,2023-01-25
81148,Exit,2023-01-25 11:00:28,2023-01-25
85521,Exit,2023-01-25 11:00:55,2023-01-25
56919,Exit,2023-01-25 11:00:58,2023-01-25
75272,Exit,2023-01-25 11:01:18,2023-01-25
80821,Exit,2023-01-25 11:01:56,2023-01-25
956,Entry,2023-01-25 11:01:59,2023-01-25
